Rating,Review,Name,Province,Type
5.0,nusa dua has been my favorite beach with jogging tracks around the peninsula area making it perfect for jogsthe wave it calm that you can swim safely with the kids making it perfect for family,Nusa Dua Beach,Bali,Alam
4.0,good lively  safe and overall clean beach with some sea weed close walking distance to the water blow  chain of good hotels along the beach,Nusa Dua Beach,Bali,Alam
5.0,much much much cleaner and more peaceful than the beaches around kuta worth the trip for sure if you want to chill ,Nusa Dua Beach,Bali,Alam
5.0,its a beauty even watching the water being far and then in few hours approaching  the trees on the sand also beautiful and the squirrels playing around ,Nusa Dua Beach,Bali,Alam
5.0,its a beach and who does not like walking a beach it is endless with lots of activity along the way from massage places bars and restaurants both low and high end people and scenery watching at its best,Nusa Dua Beach,Bali,Alam
5.0,had the pleasure of spending  nights in this area and after  years its still beautiful and peaceful,Nusa Dua Beach,Bali,Alam
5.0,lovely clean white sand beautiful to walk along the kids loved swimming in the perfect temperature water beautiful sunsets really beautiful place to visit,Nusa Dua Beach,Bali,Alam
5.0,i first reviewed nusa dua beach in  and commented that in late novemberdecember the water was absolutely full of rubbish and gave it only  stars because of that i want to give credit where its due and say that  months later it was absolutely stunning and not a single bit of rubbish could be seen the water was warm and crystal clear the sand well kept and plenty of time has been spent making the place look greatwi was told by a few people that the rubbish situation is seasonal as particular currents and water flows bring the rubbish into the area but that its soon flushed out based on my two visits so far that seems to be the caseso its only fair that i mention that in september  it was fantastic and postcard perfect we all enjoyed going for walks from the novotels  beach club up to the waterblow lots of great little bars and places to eat you can just stop in by the way and plenty of squirrels everywhere for people to feed hope its the same this later this year when we return  easily one of the best beaches in bali much better than the tourist traps over in kutalegian the black sand beaches up in tabanan and tanah lot are only better because theres noone on them ,Nusa Dua Beach,Bali,Alam
4.0,perfect service from all employees especially suwan leo deedit agus and amar they have made the vacation a perfect experience with friendly nature and great conversationthe food is delicious at every restaurant even in the dining room dream of m burger the onsite dishes have lots of delicious dishes and very delicious afternoon tea can be done with more salty foods at afternoon teathe villa is perfect maintain perfect with both cleaning services that occur at breakfast or dinner the pool is fantastic and the jacuzzi is fantastic the shower was at a great pressure and of course the automatic restroom was a nice touch excellent use of all the spaces through the villas extremely comfortable beds and pillows,Nusa Dua Beach,Bali,Alam
3.0,beautiful beach spoilt by banks of dried seaweed scattered all over the beach and floating in the sea which was not pleasant to walk on or swim with sunbeds can be a bit of a problem  unless you are staying at one of the beach resorts you must pay extortionate fees for their use even if using their bar or be chased off by the sunbed mafia,Nusa Dua Beach,Bali,Alam
5.0,very nice place very comfortable apartament well organized vety clean hotel the beach is  minute by walk  minute by shuttle bus the beach you can relax not so busy,Nusa Dua Beach,Bali,Alam
3.0,needs much more tlc for it to be one of the worlds most memorable beaches way behind the very best ones sorry to say,Nusa Dua Beach,Bali,Alam
5.0,walked every day along the beach walk the beach was always cleangreat beach and walk fir families,Nusa Dua Beach,Bali,Alam
4.0,clean and decent stretch of beach well maintained public beach with access to gardens alongside the beachcertain resorts have their own sections with sun loungers but essentially this is a public beachnot the best beach but not horribly touristy either,Nusa Dua Beach,Bali,Alam
4.0,nice beach for families with less hawkers than kuta and without the pollutionrubbish note the beach mainly serves the resorts situated there however they are open to all,Nusa Dua Beach,Bali,Alam
4.0,its a nice clean beach to be in and the crowd is decent and from the better parts of the world enjoyed the stroll by the sands and water,Nusa Dua Beach,Bali,Alam
5.0,this was paradise on steroids we had the most beautiful week in nusa dua and was way beyond our expectations,Nusa Dua Beach,Bali,Alam
4.0,a relaxing beach without too many people trying to sell you things very relaxing most hotels have a private area which is tended to by staff there is a public day bed area available,Nusa Dua Beach,Bali,Alam
3.0,unless you stay at the resorts hotels youre unable to enjoy the beaches the public beach was packed at low tide and it was dirty with garbage in the sand and water the resorts maintain the beaches,Nusa Dua Beach,Bali,Alam
5.0,gorgeous beach spots to sit  food  drinks available easy to get there from resorts it can get quite hot down there,Nusa Dua Beach,Bali,Alam
5.0,i am yoga efendi a guide and a traveler from yogyakarta  indonesia nusa dua area is so big area and located in  places of shores depends on where you staythe best area is the shore near the club med grand hyatt hotel ayodya resort and so on nusa dua is a paradise for pedestrianyou wanna know my walking route start walking from pura nusa dharma  the club med  garden of hope in peninsula island  waterblow  grand hyatt hotel area  inaya resorts area  lunch at amarterra villas terra terrace  shopping in bali collectionyou gonna get amazing photos and experiences,Nusa Dua Beach,Bali,Alam
5.0,it was nice to place to relax beach it was great to be for swiming it was very clean and quite water to dove in will recommend it,Nusa Dua Beach,Bali,Alam
3.0,for those who are not staying at a resort on the nusa dua strip you can rent chairs for k right after the inaya putri bali resort the chairs in front of resorts can not be rentedwe were here in jan  and there was a lot of seaweed really bad in front of the grand hyatt but are spots with less pictured below our first time here so unsure if this is the norm or nothonestly for beautiful clean white sandy beaches clear waters and amazing views i would recommend instead making a trip to southern lombok kuta lombok just google tanjung aan selong belanak and mawun beaches and also everything is cheaper,Nusa Dua Beach,Bali,Alam
5.0,nice clean and long beach with cafes and restaurants also has green walking territory especially great for early morning photosets at sunrise time,Nusa Dua Beach,Bali,Alam
5.0,lovely area people so friendly always got a smile and lovely welcoming greeting well kept areas around hotels and shopping areasbeach  stars,Nusa Dua Beach,Bali,Alam
5.0,excellent beach super clean wonderful sunrise very safe many resorts like the beach so outsiders probably not allowed,Nusa Dua Beach,Bali,Alam
5.0,this beach is divineit is the perfect spot to watch the sun rise over the oceanthe sand was a little rough but good enough to walk alongthe waves do not reach the shore making it perfect for people with kids to swim,Nusa Dua Beach,Bali,Alam
5.0,stunning beachwith stunning views not too crowded and locals come along to sell there balinese souvenirs at great prices lovely items water sports and surfing caters for everyone,Nusa Dua Beach,Bali,Alam
4.0,nice and quiet beach also good spot for surfing in the wet season it was considerably dirty the day we visited due to plants and garbage brought by the swells but we saw some staff fighting hard to keep it clean dont miss the waterblow as well as part of your visit,Nusa Dua Beach,Bali,Alam
4.0,best part of nusa dua is the part in front grand hyatt sand there is softer and larger beach place the part in front of sofitel is not good a lot of seagrass,Nusa Dua Beach,Bali,Alam
4.0,the nusa dua beach is relatively quiet compared to kuta beach the beachfront was decked with a lot of comfortable sun loungers provided by the hotels aside the souvenirs peddler beach sports operator and the independent masseur will ask politely if you require their service should you reject them they will not pester you overall it is a good experience to stay here really relaxing and felt recharge,Nusa Dua Beach,Bali,Alam
5.0,so clean and well kept soft sand and clear warm waters they even picked up stray leaves along with the daily seaweed deposits,Nusa Dua Beach,Bali,Alam
4.0,a very good beach maintained by the hotels it is cleaner than say kuta beach and less busierwe went for a dip in the sea but much preferred to swim in the hotel pool there is a safe swimming areayou will have people wandering around selling stuff and boat trips but they do not hassle you too much just say a polite noi found it a nice play to relax and enjoy the sun,Nusa Dua Beach,Bali,Alam
5.0,this beach is one of the most beautiful i have ever seen it goes for km and you can enjoy the walk and stop off at resorts along the way for a beer or a cocktail the sofitel is amazing resort,Nusa Dua Beach,Bali,Alam
5.0,this area is very clean and good spot to hang out with friends and family so many of good restaurants are located along the beach this beach is the only beach i found clean with no trash in the water when the water goes down we can find small fishes around the corals which is amazing perfect place for family and friends,Nusa Dua Beach,Bali,Alam
2.0,the ocean is too shallowcoral everywherethis place good for board surfershotels beside the seafor nothing people always using the swimming pools of the hotelsdo not dream like me to go there and swimm like any other beaches,Nusa Dua Beach,Bali,Alam
5.0,it is a nice beach with lots of amenities it expands from the whole eastern side of peninsula and it is very nice quite clean for bali a little bit too clean ,Nusa Dua Beach,Bali,Alam
3.0,ok for relaxation and morning run was good and nice this is far from where parties are and which is good for disconnection,Nusa Dua Beach,Bali,Alam
5.0,lovely beach walk watch out for jelly fish lots of activities available at reasonable prices massages also available,Nusa Dua Beach,Bali,Alam
5.0,gorgeous view clean and white sandy beach secluded from local inhabitants perfect place for enjoying beach and lying on sun bed all day long,Nusa Dua Beach,Bali,Alam
5.0,we spent about an hour at the beach we clean and nice beach you can find the shade to sit in even on a hot day a good place to watch the world go by as you bring your own pace down do visit the beach if you have a couple of hours to spare and are in south bali,Nusa Dua Beach,Bali,Alam
5.0,go here in the morninglow currentlow tideclean white sandy beachkids safely played and swim herewe visited our hotel beach clubenough number day bed and lounger beda shower room,Nusa Dua Beach,Bali,Alam
5.0,most beaches here are privately managed by the hotels and thus are very clean only issue here is you cant catch the sun set as it faces the east,Nusa Dua Beach,Bali,Alam
5.0,the beaches are clean and beautiful surrounded by all luxury hotels it has a bali collection mall which also leads to the beach this place is vibrant and is nested with many pretty cafes and restaurants with live music flowing in most of them it certainly has a great vibe and awesome for some leisure time,Nusa Dua Beach,Bali,Alam
5.0,nice beach clean  easy to swim we are happy to spend some time in here only food is the problem need to go back and forth to our fav resto,Nusa Dua Beach,Bali,Alam
4.0,nice white sand large surfing waves quite a ways off shore at high tide most beaches are nicely maintained by hotels raking up and burying the sea weed washing up on shoretypical water sport activities for hire along beach,Nusa Dua Beach,Bali,Alam
3.0,i went with my wife for a leisurely swim we stayed in jimbaran but many friends had told me nusa dua beach was a must seeit wasntit certainly wasnt terrible but there are far more stunning beaches in southern bali to check out such as greenbowl and sulubanthe water was crystal clear but you have to swim in swaths of seaweed and some plasticthe beach had many big resorts on it but it didnt make the beach crowded there is also a small restaurant and a hut where some locals provide massage which my wife said was great,Nusa Dua Beach,Bali,Alam
5.0,beautiful walk around the beach area nice view of sunset and blow hole safe for children to walk around the loop good surfing area,Nusa Dua Beach,Bali,Alam
5.0,great beach if you are looking for privacy and experience of bali beaches at the same time great for families,Nusa Dua Beach,Bali,Alam
4.0,it is a long probably  km white sand strip to the east of bukit paninsular with its pros and cons i would say the most fashionable beach with posh hotels manicured lawns and picturesque blue sea cons are the rocky coral sea base and plenty of algas in that season so one has to hunt for a clean spot to enter the sea i would line it third to legian and uluwatu beaches,Nusa Dua Beach,Bali,Alam
5.0,some would argue that nusa dua has become too commercialized as hotels are sprinkled all over this area along with that comes the restaurants and shops targeting touristsbut if you dont mind all that then nusa dua beach is a must visit place the currents are decent and you will spot many surfers riding the waves herethere is also a nice beach walk that links almost throughout the entire beach so you can just walk along to enjoy the landscaping that the different hotels put togethercertainly a nice place to just hang out and get a good tan waters are also safe for swimming,Nusa Dua Beach,Bali,Alam
5.0,this is a beautiful beach plently of space so you wont be sitting on top of anyone and very clean water fine for swimming ,Nusa Dua Beach,Bali,Alam
5.0,great cove for swiming its bouyed of for safety from boats going past loads of cafes and restuarnts and  star hotels along the s hjore and the great bay area for chilled low cost time,Nusa Dua Beach,Bali,Alam
5.0,quite beach  not too many peoples even on weekend surrounding itdc area need extra special passes from hotels but very friendly for family vacation,Nusa Dua Beach,Bali,Alam
4.0,dont choose this beach if you want to surf but its ideal for gentle swimming snorkeling and lounging with the family very pretty views and nice breezes in the afternoon from the beach club tables under the trees lining the resort,Nusa Dua Beach,Bali,Alam
1.0,the beach is filthy with sea weed and dirt everywherethe image of beautiful blue water is an absolute distortion of the truth in fact this is probably the worst beach i have been toregret falling for false advertising on nusa dua,Nusa Dua Beach,Bali,Alam
4.0,this beach is great very clean and shallow great for small kids its cleaned every day and water here is largely unpolluted,Nusa Dua Beach,Bali,Alam
4.0,our hotel marriott had a reserved area of the beach with loungers and umbrellas plus a beach barcafe we walked along the beach for  mtrs and it was very quiet the beach is swept clean every night there is a barrier of reefs  mtrs off the shore and a lagoon forms behind this but at low tide it is too shallow to swim in so find out the tides if you want to swim in the incredibly warm sea it needs to be at least middle tide for a reasonable swim,Nusa Dua Beach,Bali,Alam
4.0,great public beach the each side is great for early morning walks on the beach the hotels make sure the beach is cleaned of seaweed each morning after the high tide the eastern beach is much better than the northern side past the  nusas,Nusa Dua Beach,Bali,Alam
5.0,the beaches of nusa dua are heavenly but in december the heat might be overbearing its a great beach to make wonderful memories and forget about your worries in the city an absolute gift from heaven,Nusa Dua Beach,Bali,Alam
5.0,we stayed at the mulia villas that had direct access to this beach and wow talk about being spoilt  it seemed that as soon as you left footsteps in the sand they were raked over like a divot in a bunkerthe water was clean and the surf breaking on the reef not too far out was also worth exploring at low tideall up clean and safe,Nusa Dua Beach,Bali,Alam
2.0,im assuming that the beach we visited from our hotel courtyard marriott was nusa dua beach if it wasnt then apologies for the reviewwe walked along the beach area and it was quite well manicured but was large hotel after hotel after hotel after hotel the sunbeds were quite crowded as well as the bedpavilion structures hotel restaurants all the way along we are leaving early to try ubud then gili fingers crossed,Nusa Dua Beach,Bali,Alam
4.0,nusa dua beach is a little haven away from all the chaos of bali it has a beautiful walking path along the side of the beach on one side and the other side are beautifully manicured gardens and resorts and also restaurants we went jogging on the path every morning theres hardly anyone hassling you to buy stuff,Nusa Dua Beach,Bali,Alam
5.0,nusa dua beach is one of the better maintained beaches of bali there are options to play water sports be meticulous before getting into any watersport activity bargain harder until they come down to your price they will eventually give in,Nusa Dua Beach,Bali,Alam
5.0,beautiful beach to relax easy to walk through all the resorts along the beach front its safe and friendly,Nusa Dua Beach,Bali,Alam
5.0,beautiful beach with not too many hawkers and a lot of fun activities cold drinks served to your cabana and many spots to lounge on,Nusa Dua Beach,Bali,Alam
3.0,the beach where i stayed was not really clean and well arranged maybe there was event during the weekend and too many people gather there,Nusa Dua Beach,Bali,Alam
4.0,hawkers are well controlled and not the slightest bit intimidating plenty of staff keeping the beach clean and tidy,Nusa Dua Beach,Bali,Alam
3.0,in general i felt bali didnt have any particularly fantastic beaches  at least the ones i saw  this beach is a particularly its not spectacular specially when compared to many of the beaches ive been to in the caribbean kind of dull and without character and during the day turns into a big mud flap at low tide so dull i didnt bother to take any pictures of it but i didnt come here for the beach oh i came here to scuba dive i took scuba tours two beaches that were very beautiful on penida island if beaches does what you like to do and dont particularly want an indonesian style hotel pick a hotel on the west side of the island its much more crowded there and in my opinion not as nice but there are nicer beaches,Nusa Dua Beach,Bali,Alam
5.0,beautiful  cleanest beach ive ever experienced offers water sports plenty of free loungers  shade push button beach service night time beach seats  open fires with marshmallow toasting for the kids love it,Nusa Dua Beach,Bali,Alam
1.0,i wandered across to nusa dua to catch devdan show and im glad i did as besides the show being great there might otherwise be a risk that i would one day stay around here this place is stale whitewashed hole devoid of any balinese or indonesian culture somewhat ironic given id come to nusa dua for a cultural dance show why anyone would travel to a another country and pay overs to stay in a place like this is beyond me the beaches arent even that good,Nusa Dua Beach,Bali,Alam
5.0,this tranquil environment is good for honeymooner and family traveller  it is away from noises and busy crowded places ,Nusa Dua Beach,Bali,Alam
3.0,it is sandy but not a beach to swimm with low tide you have to walk far and there are lots of rocks even with high tide water comes up only to just above knees and lots if weed and plastic not the picture post card you would expect,Nusa Dua Beach,Bali,Alam
4.0,this has to be one of the cleanest beaches in bali yes bali has ocean pollution problems there are plastic bags floating everywhere really opens eyes to what we humans are doing to this planetas far as that goes this beach is very clean and the beach sellers are smaller in numbers as well,Nusa Dua Beach,Bali,Alam
5.0,on my own with friends i may not come here the beach beach front dining sunset all so romantic business meetings are good too not much distractions,Nusa Dua Beach,Bali,Alam
4.0,nice clean beach probably not very suitable for swimming or surfing as where i stayed had a huge reef,Nusa Dua Beach,Bali,Alam
5.0,if you are a bali virgin looking for a base camp to explore the island nusa dua area is a safe bet covered by white sand nusa dua beach is a private beach shared by  waterfront hotels hotel guest can go from up and down the entire beach but only use amenities in your own hotel some people swim and snorkel right off the beach most people just kick back and do nothing you can watch sunrise from the beach but not the sunset because sun sets on the other side of the island,Nusa Dua Beach,Bali,Alam
5.0,beautiful beach great view when having drinks at kul kul bar family friendly beach nusa dua is the ideal area for those that prefer peace and quiet,Nusa Dua Beach,Bali,Alam
1.0,water is full of grass and sea things in the evening is very crowded of local people not recommending,Nusa Dua Beach,Bali,Alam
5.0,we stayed at hilton hotel bali resort at nusa dua which was strategically situated along the beach enjoyed the majestic and natural settings the clifftop view was mesmerising at night most satisfying was this place it being away from the hustle and bustle of kuta areatranquility was deafening,Nusa Dua Beach,Bali,Alam
5.0,when on bali you will find the coolest beaches world famous all around the world nusa dua is the mostly quiet beaches area at eastbali so be prepared for the most beautiful sunrises because of the reef the tide is huge with low tide you can walk to the reef take care of the low depths in which sea urchins can be i loved just to sit down in the water relaxing and enjoy the cool breeze the floating seaweed and watch lots of relaxations like the banana boat rides and other water sports activities parasailing surfing jetskiing kite boarding snorkeling etc too quiet take a nice walk along the nusa dua promenade and have a snack or a drink at one of the many many terraces,Nusa Dua Beach,Bali,Alam
4.0,nice beach with clear warm water low tidehigh tide is extreme and rapid the water recedes about  ft from high tide and you can walk out to the reef in ankle deep water which isnt the greatest when you need to cool off but pretty cool to see,Nusa Dua Beach,Bali,Alam
2.0,didnt swim in this much lots dark muddy areas n seaweed string under currents too better to swim in the pools provided,Nusa Dua Beach,Bali,Alam
5.0,great beach for kids and relaxing theres not too many waves so calm for the kids to play without having to worry they keep it very clean and tidy theres some friendly locals selling merchandise but not too many to be annoying,Nusa Dua Beach,Bali,Alam
5.0,beach nice and is cleaned outside major hotels only of old sea weed found plastic along coast of beach once tide is out not easy to access water as tide goes out quite far worth a visit if you are a beach person,Nusa Dua Beach,Bali,Alam
5.0,shallow waters seriously hot and high humidity however lots of trees to take shelter under one of the best beaches we have ever been to fully reccomend,Nusa Dua Beach,Bali,Alam
4.0,the beach is nice but the main problem is the dirty plastic seaweed grass etc doesnt make you welcome or comfortable for a swim or even enjoy the sunny days,Nusa Dua Beach,Bali,Alam
5.0,what i love most is how sheltered and calm the beach is  even wirh a large swell the outer reefs take all the waves so it is very safe for swimming and using a paddle board etc if you go snorkeling you can see fish and lots of star fish in the sandyou can walk right along the path and past all the different  star resorts you can also eat or have a drink at them which is nice on a sunny daysummarycleansafefreeyou wont get hassled on beach like in kuta,Nusa Dua Beach,Bali,Alam
5.0,relaxing with a warm welcome lovely hotels along the beach walk with beautiful views out over the sea lots of places to stop for a drink or lunch  bali collection agood find shops and restaurants with many kinds of different foods at very reasonable price compared to the hotels but no sea views ,Nusa Dua Beach,Bali,Alam
5.0,a very beautiful place  take a walk around will really miss the beauty of this beach  every time i come to bali this place i always visit,Nusa Dua Beach,Bali,Alam
4.0,its a nice beach however the resorts dominate so although you can walk along the foreshore you cant use the facilities unless you buy a drink at the overpriced bars,Nusa Dua Beach,Bali,Alam
4.0,people from bali are very aware of plastic pollution they do their best to keep the place cleanvery nice people,Nusa Dua Beach,Bali,Alam
5.0,spend a day there with my wife just to have rest and look around the place was very quiet and beautiful alot of things to see there we love the place because of its environment and surroundings it was very beautiful and nice place its very easy to locate,Nusa Dua Beach,Bali,Alam
3.0,not so nice beach great for strolling but not for swimming low tide during late afternoon for instagram pictures,Nusa Dua Beach,Bali,Alam
5.0,stayed in inaya putri bali service is great efficient and friendly spend the whole day in the hotel to enjoy the facilitieskids love the pool so much they didnt want to leave,Nusa Dua Beach,Bali,Alam
4.0,we can swim but the water wasnt very clear when we went but some parts have clear water maybe its because of the waves nice and quiet where no vendors will keep disturbing you it was very relaxing we saw an angel fish swimming near the shore,Nusa Dua Beach,Bali,Alam
4.0,just a lovely beach to chill out and relax a lot of water activities around the area i did scuba diving make sure you bargain for a good price,Nusa Dua Beach,Bali,Alam
5.0,we descover a clean place the sea is clean you have a place where you can buy drinks you have toilets n that aeria,Nusa Dua Beach,Bali,Alam
5.0,if you are in this part of bali then ill recommend you visit the nusa dua beach lovely clean sand clear water and the great walking track along the beach,Nusa Dua Beach,Bali,Alam
4.0,nisa dua is the area of resorts in south bali so its not really the authentic bali but its a pleasent place to spend few days relaxing on the beach there are also many shops and restaurants and the big bali collection shopping centre with a huge selection of restaurants,Nusa Dua Beach,Bali,Alam
5.0,it is simply so clean and amazing which shows how much care people of bali island have given to give us this satisfying experience the water is crystal clear and the sand almost massages your feet i highly recommend this beach to people of all ages and be sun safe,Nusa Dua Beach,Bali,Alam
4.0,you can enjoy water activities mainly in nusa dua beach in bali the paragliding banana boat scuba dive are the main attraction therebe aware when you purchase any tour package because they might not include ticket for these activities,Nusa Dua Beach,Bali,Alam
5.0,if youre looking for a tranquility then go to nusa dua beach the ambience is so calm  peace i would love to see the wave coming to the shore,Nusa Dua Beach,Bali,Alam
4.0,beautiful when the tide is in but a bit bleak when the tide is out very nice walk from the temple on the headland to sofitel also a nice path at the back of the beach for cycling,Nusa Dua Beach,Bali,Alam
4.0,i loved the walk to this beach it is not as big or as wellkept as other popular beaches on the island but it is free and the walkway from the grand hyatt hotel was a great way to see the gardens and get to the beach front you can also get here from the park neat the waterblow site,Nusa Dua Beach,Bali,Alam
3.0,the place overall its very nice a lot of nice hotels are around but we didt have a very good expirience on the beach first of all the wather was very dirty it was hot but it wasnt nice to swim or enjoy in the wather which was that dirty when we got out of the wather it was very windy so the sand was all over us we were hoping that the wind will stop but it didnt the other thing that we didnt like was that you have signs on the beach that if you go in the wather you will swim on your own responsability when you will see red flag on the beach its high danger the yellow flag shows medium danger and the green flag shows no danger at all but we were walking a lot and all we saw was the red flag so it was not nice to swim in wather and know that there is a risk something to happen to you if you are not swimer you can just seat and enjoy in the view the beach its beautifull in that point nice white sand and blue sea,Nusa Dua Beach,Bali,Alam
5.0,no words to express the beauty of this heaven on earthseveral amenities nearby to compliment your appetite perfect for honeymooners and couples,Nusa Dua Beach,Bali,Alam
5.0,very clean beach  great for snorkelling and lots of bars and restaurants dotted along the beachwhite sand swimming area and not too rough its very peaceful during the day and has atmosphere at night,Nusa Dua Beach,Bali,Alam
5.0,beautiful clean beach lots of space and beach chairs to relax amd enjoy this beautiful part of the world nice walks along the beachincluding the temple hill and the blowhole clean and family friendly m,Nusa Dua Beach,Bali,Alam
5.0,it is a nice place to hang out for several hours and swim in clear waters not so crowded when i was there,Nusa Dua Beach,Bali,Alam
4.0,a nice place to visitstrolsee some intreresting craftsldo some markets and chat with some local people ndeatat a warung,Nusa Dua Beach,Bali,Alam
4.0,we stayed here for the first time and enjoyed the beach quite clean all round also a lovely walk alongside the beach most of it under lovely tree canopies highly recommended,Nusa Dua Beach,Bali,Alam
4.0,pretty good beach i would say mostly people swimming outside the inaya or ayoda resorts colder than the hotel pools waves can pull you out a bit so be careful with children see locals fishing out there as well people surfing sand gets very hot during the day otherwise nice view and good to relax in front of with a beer,Nusa Dua Beach,Bali,Alam
5.0,whenever we come to bali we keep on staying at nusa dua either at sofitel mulia westin clubmed or nusa due beach resort they situated next to each other on same stretch you literally can walk from end to end the walking path is well kept and safe best for honeymooners or even family,Nusa Dua Beach,Bali,Alam
5.0,beautiful private beach clean beach safe for travellers and good place to relax and unwind with few bars on the beach,Nusa Dua Beach,Bali,Alam
5.0,this is the only beach ive been to where there is a dramatic difference between high and low tide at low tide it didnt look so nice on the right hand side of our hotel the overall quality of the beach is self evident from the many nicer hotels backing onto the beach,Nusa Dua Beach,Bali,Alam
4.0,we chose to stay at aresort next to the beach the main problem was that for the first week thw tide seemed to out for most of the day so it was not suitable for swimming but in the second week the high tide was in the middle of the day and we had a great swim the sand is white unlike the busy kuta side of the island it is not really busy and a really relaxing way to spend your holidays layong around and observing the view evidently there were dangers like stepping on sea urchins at low tide but signs alerted you to the dangers the low tide provided you with the opportunity to walk out to the edge of the reef and look in the rock pools,Nusa Dua Beach,Bali,Alam
1.0,we have been in bali in  staying in sanur and we said if we ever come again we will stay in nusa dua because we liked the beach so much years later we return  the beach is nothing like it wasthe water was dirty trash everywherereally sadbut bali still awesome,Nusa Dua Beach,Bali,Alam
2.0,i was disappointed in the beachesif there were nice beaches in nusa dua i certainly didnt find themlooks lovely at a distance but not up close but at night with the lights and surrounding restaurants in nusa dua it looked a picture,Nusa Dua Beach,Bali,Alam
5.0,nusa dua beach always been our favourite escape from the hectic life in jakarta the beach is clean private the view is great we can just sit down and lie back under the tree and sleep without thinking about anything what a relax way of spending a day,Nusa Dua Beach,Bali,Alam
5.0,this place will satisfy your mind when you are in this place  fresh air is almost without pollution you can enjoy here  its not wrong if you make this place as one of your travel agenda on the island of bali ,Nusa Dua Beach,Bali,Alam
3.0,coming from wa where we have excellent beaches it was hard to like this beach the sand is very corse under foot the water did seem clear and our son enjoyed playing in it but its not the quality we are used to at least the bean bags and sun beds under the parasols were free  beach club for novotel guestsi think its a cheek asking  for a small bottle of water then adding  service charge on top,Nusa Dua Beach,Bali,Alam
5.0,beautiful beach nice and quiet always cleangood choice of restaurants and cafes along the length,Nusa Dua Beach,Bali,Alam
5.0,one of the rare beaches where you could actually swim in bali even in low tide it is still swimmable on some places but be there earlier cause the sun sets before h and not in the ocean as it sets in kutaclean and lovely,Nusa Dua Beach,Bali,Alam
4.0,went here with our kids place is clean sand is nice water is goodbest time to go is in the morning,Nusa Dua Beach,Bali,Alam
4.0,the beach is not for a people who like to swim but it is a long and nice for walking all the time is windy,Nusa Dua Beach,Bali,Alam
