Rating,Review,Name,Province,Type,cleanliness,service,accomodation,facility,crowd
3,a nice place for morning walks along the beach with plenty of beach front coffee shops and restaurants but the condition of the beach itself spoiled by trash and plastic items that for sure made mother bali mourning every day,Sanur Beach,Bali,Alam,1,0,0,3,0
3,the beach is not clean many plastic bottles and other stuff around plenty of seaweed many crab holes in the sand which can be uncomfortable for same people to walk on big difference between high and low tide low tide is awful some fishing boats on the beach the water is not deep some hotels seem to clean the beach some not at high tide if no seaweed the water can be very comfortable and wellkept stretches of beach can be very beautiful in deed also plenty of facilities on the beach ranging from simple local beach restaurants to expensive hotel bars there are some beach vendors on the beach but they are not very pushy also beautiful sunset in short ive mixed feelings about this beach,Sanur Beach,Bali,Alam,1,2,0,3,0
3,i really wanted to like this beach but the hawkers the ankle deep water dogs all over the beach made for less than desirable place to stay it is pretty in places the dogs made me sad i hand watered one very thirst pup it broke my heart they look emaciated not to mention there is dog doodle and wee wee in the sand yick,Sanur Beach,Bali,Alam,1,0,0,0,0
3,sanur is a quite place compare to other beaches in bali  and the beach itself is cleaner compare to others if you like to relax to avoid the crowd this is good place to chill sanur is the harbour that boats going to nusa penida and lembonganthere is not much night life here the price of the restaurant along the beach is a bit expensive,Sanur Beach,Bali,Alam,2,0,0,0,3
3,you dont come for the turquoise water but sanur beach is well located with great options to walk the path and fun restaurants the sunrises are beautiful and with sunset the clouds turn different shades of pink the week i was there it was perfect conditions low tide clear water nice breeze and blue skies,Sanur Beach,Bali,Alam,0,0,3,3,0
3,view is great sunrise is very nice there however its hardly possible to swim also sand is rough with tiny stones and shells,Sanur Beach,Bali,Alam,1,0,0,0,0
3,i would have liked to give sanur a good but ta only allows very good and average but its somewhere in between after a  or  days we were ready to head to legian for a bit more of everythingsanur is quiet for those looking for quiet the beach has limited shade trees but you can hire umbrella chairs everywhere there are also some good restaurants here and there so overall sanur can be good for a few days,Sanur Beach,Bali,Alam,0,0,0,3,3
3,the beach is super clean all the time well cared for tge rub is first the tide goes out a very long way so you can only swim a few hours a day and second there is a dangerous current when the tide is falling,Sanur Beach,Bali,Alam,3,0,0,0,0
3,its a great place to relaxthe beach walk is great it helps with your exercise regime without getting hit by a car,Sanur Beach,Bali,Alam,0,0,3,0,0
3,sanur beach is the main beach in the south of the island only  minutes or so depending on traffic from denpasar airport the beach is very long and broken down into smaller sections by manmade breakwaters each connected by a long footpathcycle way right along it is a wide beach offering plenty of space for sun bathing sun beds and brollies are available to hire at numerous locations some areas offer better swimming than others the first section near the begin of the sanur road entrance has very little water when the tide goes out then the next section where the lombok ferries leave from is very busy with passengers and smells constantly of fuel the sandhu section is by far the better with more space better quality shops and bars plus water most of the day the sea is safe for kids to play in as when the tide goes out it becomes a sheltered lagoon it is possible to snorkel here you will likely see a variety of smaller fish such as picasso fish urchins and starfish but be warned the locals fish the lagoons daily and hence the wildlife is wary the beach offers people watching countless shopping and eating opportunities and also draws countless hawkers selling everything from fruit to massages and taxis there are toilets at the beach but are chargeable k rupiah the local hawkers however appear to stroll out along the nearby pontoon to relief themselves as do the stray dogs that wander about some areas of this beach are very noisy and rubbish strewn which is a shame,Sanur Beach,Bali,Alam,1,0,3,3,1
3,sanur has a fantastic really long promenade that is totally filled with bars restaurants hotels and locals selling their wares lots of trips  boat tour operators and hire places of bikes and sunbeds and massage services character yesthe beach is shallow and remains so as far out to the main breakwater then too ferocious to swim and i didnt see anyone much out there other than locals fishing water shoes are essential as not really nice to walk into as slimy sand  seaweed whitish sand but further north the sand is blackwe hired bikes along the front for a few hours and it was the easiest way to cycle the whole promenade with stops for refreshmentseverywhere there is sellers price when you ask and your price dont accept first price days is sanur is enough but swimming here nohappy travelling,Sanur Beach,Bali,Alam,0,0,3,3,0
3,cute beach with standard hair braiding massage services being touted tricky to get to but still a lovely outlook,Sanur Beach,Bali,Alam,0,3,0,0,0
3,lots of boats everywhere beaches are okay but nothing special didnt really see people swimming either wonder why,Sanur Beach,Bali,Alam,0,0,0,0,1
3,the broadway is fabulous runs along the beach well sheltered and in good condition its an interesting walk crossing cafes high end resorts restaurants and market stalls its relatively clean however dogs roam around in a relaxed moodgood for jogging or a morning walk then brekky by one of the cool funky cafes makes it the perfect place to watch the world go by happy holidays folks,Sanur Beach,Bali,Alam,3,0,3,3,0
3,sanur beach bali east side is in comparison to west side not as wide and the sand is not as smooth however it will provide both comfort and joy between the several divided bays,Sanur Beach,Bali,Alam,0,3,0,0,0
3,lovely quiet bit of beach to the south by the hotels to the north there are a lot of fast boats to various islandsmany restaurants to choose from unfortunately it is one of those places where if someone sees you even glance sideways at a menu they will chase you down begging you to come ini wanted to book a boat to the gili islands and went to two places advertising such a trip the first place was telling me that it was a very long crossing but wouldnt tell me how long despite my repeatedly asking and tried to sell me other trips the second place couldnt tell me anything about the crossing they were advertising nor when there would be someone there that couldsomeone overheard me asking about the gilis and called to his friends on the street who then surrounded me trying to get me to go into a specific store where they could do a deal i walked on running the gauntlet of all the cab drivers standing around asking me if i needed transporttoo much pressure i dont think ill be back,Sanur Beach,Bali,Alam,0,1,3,3,0
3,it is good to see sunrise  not sunset  the beach is not as nice as in the west side of the island but still okay,Sanur Beach,Bali,Alam,0,1,0,0,0
3,bali is wonderful and on previous stays at sanur beach it have enjoyed the pleasant tropical ambience of this lovely placehowever it has now been invaded by noisy motor bike and hoards of locals and tourists to make it a very crowded placethe high priced resorts are still lovely and peaceful but sanur beach has lost much of its charm and had become too busythe nearby roads are also chockedwe now prefer amed beaches which are  hours ne,Sanur Beach,Bali,Alam,0,0,1,2,1
3,a very average beach with rough sand and large pieces of coral hence not very soft to walk on the tide goes out km in the early afternoon therefore no more swimming after that its fun to walk through the puddles during lowtide its best to wear shoes as there are many sea urchins our hotel akana provided sun loungers on the beach near the mercure hotel we got to a full view how the guys from the water sport hut were charging fresh tourists k per lounger and laughed greedily behind their backswe walked many kms on the cycling path it was very disappointing to see that every warung had a large freezer instead of a fresh fish displayand theres the money exchange scam if you see exceptionally good rates those are just to lure you in and you could end up with less than the lower exchange rate at the more honest places quick hands trap doors etc we wanted to see if they can fool  former croupiers oh the man next to meme spa kept touching the cash as i was counting it despite of being told not to also did plenty of shifty moves and when he thought he was in the clear i counted the amount once again as it was in my hand not on the counter and surprise surprise  was missing we took our money back and left another woman calculated  less than i gave her my advice is only change where the desk is glass and do your own calculations on your phone instead of believing what you are shown on their calculators safest option is the bank,Sanur Beach,Bali,Alam,2,1,0,3,0
3,the upper part of the beach has black dirty looking sand while the lower part has more white clear sand next to the beach there are various restaurants and cafes overall sanur feels more chilled out than kuta or canngu for example so its actually better,Sanur Beach,Bali,Alam,1,0,0,3,3
3,we went to sanur for lunch on the beach it is a pretty spot for me it is just another bali beach the locals were a little annoying trying to get you to buy their goods but again thats bali,Sanur Beach,Bali,Alam,0,1,0,0,0
3,full to the brim with high end hotels and ferry boats to the nearby island im sure a decade or so ago this would have been paradise however its way overcrowded with buildings nature has lost this battle id much rather be sat on a beach in nusa penida philippines or gillies,Sanur Beach,Bali,Alam,0,0,3,3,1
3,the beach that i visited in sanur is the one at the end of jalan kusuma sari where the fairmont and artotel are located and which is shown on the map for this reviewi visited the beach at around am in the morning and found it to be very busy with lots and lots of motor boats loading up with cans of gasoline and people carrying things up and down the beach to these boats further along are many perahu with outriggers either on the beach or just off the shore along with many motor boats moored just off the beach at the top of the beach are lots of shack type restaurants and cafes with table and seats many sunbeds with parasols and a few renters of inflatables kayaks and paddle boardsthe beach was fairly clean although there was seaweed in the water and on the beachif i were visiting with my family i dont think i would want to visit this particular beach even kuta beach is far better in my opinion and i am sure there are better parts of sanur further south and perhaps north in fact there are many nice beaches in bali but this definitely is not one of them this beach was small very commercial and i just didnt like it,Sanur Beach,Bali,Alam,2,0,3,3,1
3,fine beach with nice sand there is trash and plastic in the water which is a shame hope they clean this up soon,Sanur Beach,Bali,Alam,1,0,0,0,0
3,depending on the location one can swim in the sea due to the fact that lots of seaweed shells and pebbels makes swimming to an adventure fethe beach at theinna beach resort is very uncomfortablecerama beach in the neigbourhood of the mercure hotel is much more recommended,Sanur Beach,Bali,Alam,2,0,0,0,0
4,post lunch it was time to head to the beach the sanur beach was clean and photogenic you can rent the beach chairs and relax,Sanur Beach,Bali,Alam,3,0,0,3,0
4,love the beach boardwalk which stretches for miles lined with shops restaurants massages tour operators sunbed guys and the lovely local fishingtourist boats you can dine instil or have simple grilled fish and a corn on the cob from the warring net to the turtle conservation canter the only bugbear can occasionally be the risk of being run over by a cyclist it is very quiet traffic freeapart from the bikes and its easy to find a quiet spot under a tree with a book this is our third visit and ive yet to actually go in the sea once youve seen it at low tide with all the i suppose sewage and waste water pipes laid along the seabed it takes the blowoff this is why only  stars from me,Sanur Beach,Bali,Alam,1,3,3,3,3
4,no surf at sanur but the water is cleaner with less pollution than seminyak legian etcno beach chairs or umbrellas to hire unless your staying at one of the  star resorts on the beachsanur is quieter than the other side of the island still plenty of good restaurants cheap and expensivegreat place to stay,Sanur Beach,Bali,Alam,3,0,0,3,3
4,a good beach but at low tide it dries out right to the reef there are loads of sea urchins so do take care at low tide,Sanur Beach,Bali,Alam,1,0,0,0,0
4,its a very beautiful area but its a crowded base of hotels the walk is very narrow in the shops are overwhelming you all the time to enter to consume all too made for the tourist but obviously remains beautiful the water is crystal clear and very hot,Sanur Beach,Bali,Alam,3,1,1,0,1
4,the grounds of our hotel spilled out onto this beach and we loved it we spent time in the morning noon and night and enjoyed every minutethere really is something for everyone there are little beach clubs where you can rent sun loungers for not much money and they usually have a restaurant attached to themin fact you wont go short of anything to eat or drink as there are lots of bars restaurants and shops to get refreshmentsthe beach itself is very long and pretty clean we did loads of walks on it and got good exercise whilst enjoying the beautiful views,Sanur Beach,Bali,Alam,0,0,3,3,0
4,if you want a nice clean beach to swim in bali then sanur is it this part is not for partying it is much quieter than seminyak and kuta but it is nice clean and relaxing,Sanur Beach,Bali,Alam,3,0,0,0,3
4,we enjoyed walking on the boardwalk and shopping and spent time at the sand beach bar which had very good food and excellent service,Sanur Beach,Bali,Alam,0,3,3,3,0
4,this beach was really nice the sand had a more golden colour compared to kuta lots of restaurants to eat at very small waves so not good for surfing but great for swimming,Sanur Beach,Bali,Alam,0,0,0,3,0
4,go for a walk jog or cycle on the promenade in the morning  consider one of the numerous bars with extensive and different happy hour options watch or eat as the day turns to night with vistas to nusa penidathis is what a relaxed tropical holiday is about,Sanur Beach,Bali,Alam,0,0,0,3,0
4,lovely beach to sit and watch the activity on the water enjoy a meal and drinks on the sand beautiful at night as well when the restaurants and hotels are lit along the beach,Sanur Beach,Bali,Alam,0,0,0,3,0
4,sleepy coastal town compared to other coastal bali destinations a photographers dream to catch a sunrise walk the sanur boardwalk to scout the several beaches that makes up sanur some beaches are more swimmable than others just find your spot and spend the day relaxing there are many good and drinks options nearby,Sanur Beach,Bali,Alam,0,0,0,3,0
4,nice and relaxing great range of cafes and bars along the beach nice people no hassle and easy to get around,Sanur Beach,Bali,Alam,0,3,3,3,0
4,lots of boats all around the beach which made it difficult to enjoy a decent swim bot the cleanest has some stuff thrown here and there lots of stray dogs wandering i dont recommend touching them other than thatits a beach ,Sanur Beach,Bali,Alam,1,0,3,0,0
4,so relaxing to walk along the sea shore  theres a footpath most of the way except where blocked off by hotels bars abound and its easy to get all sorts of food and drinks here its hot in the middle of the day so i enjoy most in the evening this is where the young and old can be seen sharing the same beaches and bars great beach,Sanur Beach,Bali,Alam,0,0,3,3,0
4,the sanur beach is facing east over looking to nusa penida and lemongan island so if you choose to stay in a hotel in sanur wake up early especially if you go to matahari terbit section which is great for photoesbe aware of sea urchin that can cause pain when swimming there,Sanur Beach,Bali,Alam,2,0,0,0,0
4,less tourist but not that clean good for swimming and having fun with family easy access to get there,Sanur Beach,Bali,Alam,1,0,3,0,3
4,theres a board walk you can stroll along to take in the the beach scene with islands out to the sea on a clear day you can see mount agung and the skyline of the hills and mounts is amazing great cafes and restaurants to try and clothingcraft markets to browse around,Sanur Beach,Bali,Alam,0,0,3,3,0
4,very crowded during the evenings much better to come here for the sunrise volcano on one side ocean on the other beautiful sunrise,Sanur Beach,Bali,Alam,0,0,0,0,3
4,sanur beach has a path that runs the full length of the beach from the mercure in the south to where the boats to lembongan leave in the north lots of vendors and beach dining choices along the way there are a lot of beach clubs along the way if you want to hire a lounge with umbrellas and have a swim in the ocean or just relax and have a drink and soak in the views,Sanur Beach,Bali,Alam,0,0,3,3,0
4,the beach is spectacular but they have built too much and there are many hotels villas and shops a shame,Sanur Beach,Bali,Alam,0,0,0,0,3
4,we went for walks in the morning  it had a good paved path for walking and cyclingits cool early morning and has a nice breeze the view is beautiful with fishing boats clean golden sandthe are warungs along the way if you want to have breakfast overlooking the oceanwell worth getting up early to beat the heat,Sanur Beach,Bali,Alam,0,0,3,3,0
4,sanur beach is far more peaceful than kuta with its beachfront restaurants and much calmer surf sanur beach is far less hectic than kuta beach and its also a lot smalleralso welcome in sanur is the fact that there are less vendors to harass yo as youre working on your tan,Sanur Beach,Bali,Alam,0,3,0,3,3
4,daily chance to walk along the sea visit the many restaurants or bars cooling down in the sea enjoy hollidays,Sanur Beach,Bali,Alam,0,0,3,3,0
4,lovely quiet beach shady tree stayed at sagara village great restaurants along on the beachcan ride bikes all along the path on the beach paddle boards act behind the reef so beach not rough,Sanur Beach,Bali,Alam,0,0,3,0,3
4,in the time my wife and i spent in bali it was one of the best places to spend the dayclose to a lot of restaurants that serve good food clean and calm water good to relax you can also do some water sports if you want,Sanur Beach,Bali,Alam,3,0,0,3,0
4,we strolled to sanur beach about a min walk from our villa the beach was surprisingly not touristy at all and locals were everywhere swimming and eating grilled corn and satay please get the grilled corn from any of the vendors  you can get it on the cob or in a cup costs only idrk if your stomach still has space get a serve of the pork satay costs only idrk for  sticks,Sanur Beach,Bali,Alam,0,3,3,0,3
4,great hotel loads of pool areas and great breakfasts service impeccable super choices of restaurants that cater for all happy hours  every day right on the beach,Sanur Beach,Bali,Alam,0,3,0,3,0
4,sanur beach has lovely flat water so its great for people with kids the beach is general clean and you dont get bothered by hawkers when you are down on the sand great place to watch the sunrise its just a shame there is no where open early enough to get a coffee while you watch,Sanur Beach,Bali,Alam,3,3,0,1,0
4,you will find everything here from the most expensive and manicured to the most simple since i first stayed here in there was a different balance of the two with large stretches of the beach just sand now pretty much everything is developed though you can still find authentic warungs and the food stalls at the night market are great to see and sample if you love just chilling by the sea eating and drinking you will love it here with lots of places to try out if you are like me and need things to do and explore perhaps there is more of a challenge there is lots of watersports and you can book tours to various places so youre okay there but for places to go off to see on a bike or scooter maybe not so much the best place i found was the mangrove information centre  wonderful lush nature to explore for half a day or so the taman festival park was a curiosity the le mayeur museum was okay the bali orchard garden a disappointment as i say you can book lots of tours from here but then it quickly gets expensive i guess you should try snorkelling around nusa penida and the other islands just off the beach that is pretty spectacular though take some motion sickness tablets if youre susceptible to getting sea sick when i went the sea was a bit rough,Sanur Beach,Bali,Alam,0,3,3,3,0
4,first time at sanur beach and loved it  tranquil clean great walking path and loads of different places to eat  drink with a view that keeps you entranced planning our next trip for ,Sanur Beach,Bali,Alam,3,0,3,3,0
4,parts of sanur beach are beautiful and clean with raked sand mainly outside resorts who tend their patch of beach other spots not so well looked after and walk paths paving can be a bit hazardousocean generally clean with a daily tide plenty of boat trips glass bottomed boats snorkelling also we love sanur for its village feel,Sanur Beach,Bali,Alam,3,0,2,3,0
4,nice sandy beach here look out for somewhere you can get loungers for the day tide goes out quite a long way but soon gives some water depth for soaking in as the tide comes back in look out for the guy flying the galleon kites at the southern endshop owners can be a bit pushy but not many vendors peddling wares on the shore itself east facing it has some shade during the heat of the afternoon a good day out,Sanur Beach,Bali,Alam,0,2,0,3,0
4,sanur is beautiful i think it fits for honeymoon or people who wants to spent their time only by reading books and take their me time with some scoops of gelato nearby strolling around with bicycle is also an optiontheres so many things you can buy around the beach and all of em is very cheap local price you can rent the boat to go to nusa lembongan or nusa penida,Sanur Beach,Bali,Alam,0,3,3,3,0
4,rent lounges and towels for the day under umbrellas swimming is ok lots of seaweed about  meters out lots of eateries and we tried a few and they were all good you can rent jet skis go parasailing rent surfboards have fun,Sanur Beach,Bali,Alam,1,0,0,3,0
4,well paved access way in bustling waterfront a grst place to have lynch or watch the sunset over a cocktail,Sanur Beach,Bali,Alam,0,0,3,3,0
4,bike rides or walk along lots restaurants nice in the cool of the evening catch taxi if not staying in area walk busy with cars,Sanur Beach,Bali,Alam,0,0,3,3,0
4,i enjoy myself lil shopping mall u can get cheap stuff to many rocks on beach water not that clear but had alot of fun it was right by our room,Sanur Beach,Bali,Alam,1,0,0,3,0
4,excellent laid back beach with a variety of good surf breakshas shady areas on the beach  is a launching pad for penida lembogan  cinnigan,Sanur Beach,Bali,Alam,0,0,3,3,0
4,not so busy as kuta or seminyak  more original more indonesian  just a cool place to hang and go for a swim  which is better than in kuta or seminyak,Sanur Beach,Bali,Alam,0,0,0,0,3
4,it is a quiet beachit is good for couples and family lot of good hotels in this areathe beach is not as nice as other part of bali like seminyak or nusa dua but it is quiet and you can just relax and just wondering your eyes to the ocean it is a great way to relieve stress and enjoy fresh air,Sanur Beach,Bali,Alam,0,0,0,3,3
4,baii hai sunset dinner cruise was a wonderful experience buffet good entertainment wonderful very good value will go again for sure,Sanur Beach,Bali,Alam,0,3,0,0,0
4,must go there before am to witness the view of magnificent sunrise there is an entrance fee about  thousand rupiah i gave  stars only for the sunrise if you are looking for going to beautiful beach this might not be a very recommendable place there are other beaches better than this for the beach i would just give   ,Sanur Beach,Bali,Alam,0,0,0,2,0
4,after staying amongst the hustle  bustle of legian it was nice to spend the last few days in beautiful sanur relaxing lots of nice cafes restaurants and bars to choose from perfect spot to do not a lot if you are in need of a wind down but still within walking distance of the main street to meander down,Sanur Beach,Bali,Alam,0,0,3,3,0
4,sanur is one of the most beautiful places in bali there is a foot path  cycle path that runs along the beach making it easily accessible from the different locations,Sanur Beach,Bali,Alam,0,0,3,3,0
4,saturday morning th september and we made our first of several visits to this beach during our stay in sanurwe walked along the pathway that runs along the top of the golden sandy beach we walked the length of the beach which took about  minutesalong the way we came across a turtle conservation centre reviewed separatelywe passed through a small market with stalls crammed with everything you would expect to see in a tourist marketthere where also a number of kiosks selling boat tours as tours did commence from the beach the road leading to the beach was always busydotted along the beach there were a number of small colourful jukung fishing boats that resembled some form of shellfishthere were some sun loungers and umbrellas were along the beach this belonged to hotels for their guestsa number of sprawling trees provided shade for those visitors who wanted some cover others spread out their towels and beach mats along the golden sandtake care when walking along the pathway as it is also used by cyclists,Sanur Beach,Bali,Alam,0,0,3,3,0
4,stayed off sanur beach on a recent trip to bali its a nice pretty beach in the morning but the water all goes in after about  so it looks a bit rubbish then theres plenty of nice restaurants and bars on the strip as well as gelato shops and souvenir shops,Sanur Beach,Bali,Alam,1,0,3,0,0
4,perfect for any sunrise and an easy stroll along the beach recommended for any visitor to sanur plenty of good cafes restaurants to enjoy a meal at,Sanur Beach,Bali,Alam,0,0,0,3,0
4,this section of beach runs for about km fortunately there is a very good pathway along its lengththe problem is that the sections in front of the resorts are excellent but can only be used by guests the sections outside the resorts are a mess of ramshackle warungs and shops wandering dogs litter and waste as well as the constant passing of motor scooters the water or sand does not look appealing in these areasso each morning we take a long walk though the good and the bad,Sanur Beach,Bali,Alam,1,0,2,2,0
4,sanur beach is much cleaner and quieter compared to kuta legian benoaless rowdiness unlike in kutaof course less ranges of shops massage spas eateries etcgreat for a quiet vacation and not have to travel hours to ubud,Sanur Beach,Bali,Alam,3,0,0,0,3
4,this beach up and down a couple of times every day  good for the body and mind in the evening there are some places along this stretch for a few short breaks for refreshments thats life on bali ,Sanur Beach,Bali,Alam,0,0,0,3,0
4,beach is long and clean water is warmer than kuta beach prices along the beach are higher but you can find bargains if you are patient stop by the sea turtle sanctuary,Sanur Beach,Bali,Alam,3,0,0,0,0
4,perfect to enjoy a run on the beach sun rises behind nusa penida and it is worth to have wachted thisrunning is quite good at the promenade in the early morning,Sanur Beach,Bali,Alam,0,0,0,3,0
4,we totally enjoyed our time at sanur this visit previously we had been further north and too far from the coast we stayed in a villa in jl duyung and we absolutely loved the location being only  minutes walk to the beach and loads of lovely restaurants and bars sanur is much more peaceful than areas on the west side of bali and we thoroughly enjoyed our time there,Sanur Beach,Bali,Alam,0,0,0,3,3
4,sanur beach is a long sandy stretch to get to it can be frustrating if youre not staying in a beach frontage property as public access points are available but limited unless we could sneak through a beach front resort it was a  minute walk luckily our resort had complimentary drop off and pickup servicealso you can charged approximately indr aud for  beach lounges with umbrellaplus bring water shoes as the ocean floor is quite pebbly and rough on the feet when swimming a shop stall approximately opposite starbucks in sanur road sells them i paid audit is an interesting beach to walk or hire a bicycle there are plenty of eateries and bars to quench your thirst,Sanur Beach,Bali,Alam,1,0,0,3,0
4,the beach and more relevantly the promenade with its many cafes and restaurants is a real pleasure to visit and we have not yet been disappointed by the fare offered by any of the many establishments we have eaten or drunk atthere are various watersports available at different parts of the beach the only downside is that swimming is limited because of how shallow the lagoon is but there are plenty of other places to swim in bali,Sanur Beach,Bali,Alam,0,0,0,3,0
4,great walking path right along sanur beach the beach itself it very shallow due to the reef structure in some places its less than cm deep however it is beautiful and ideal for watersports such as snorkeling and jet skiing do however be warned about the sea urchins there are many we would recommend wearing water shoes of some kind the spines are poisonous and really hurt,Sanur Beach,Bali,Alam,1,0,0,3,0
4,my husband and i love our walks along sanur beach you can also hire bicycles and ride along the path it is kept clean and tidy and r the sunrise is amazing from the beach,Sanur Beach,Bali,Alam,3,0,3,3,0
4,grumpy owner  hes an expat queenslander  he rents clunky female bikes unless you part with big bucks  however his staff korman was a good guide  friendly and speaks english i recommend the morning market tour ,Sanur Beach,Bali,Alam,0,2,0,0,0
4,love this part of the island as the sand is soft and water warm there is a fair amount of seaweed but does get cleared away regularly the boardwalk is brilliant with a lot of choice for food drinks and activities,Sanur Beach,Bali,Alam,1,0,0,3,0
4,a clean and tidy place lots of attractions at this beach safe swimming warm waters lots of shops and eateries  bars along a well footpath area used at night as well path lighting is average large areas with no lighting sefveral access points from the roads takes you on an alternative access to hotels,Sanur Beach,Bali,Alam,3,0,2,3,0
4,great clean beach to enjoy the water is clean and warm and there are gaps amongst the seaweed for a walk and swim the sand can be a bit dirty in places so just find a nice clean spot plenty of nice resorts and cafes and restaurants nearby to escape the heat really enjoyed our time on the beach,Sanur Beach,Bali,Alam,3,0,0,3,0
4,stuck to the hotel pool but went for lots of walks along the boardwalk morning power walk  then a stroll looking for somewhere to eat in the evening good choice of restaurants  most have happy hours,Sanur Beach,Bali,Alam,0,0,3,3,0
4,nice beach and port to take boat to nusa penida and other islandsin the morning and afternoon hundreds of people if come back from island tour in afternoon careful for the sea which is far from the coast,Sanur Beach,Bali,Alam,0,0,3,0,0
